Lead Programmer,Programming,Lead Level Designer,Level Designers,Art Director,Prop & Level Artists,Character Artist,Character Animator,Concept Art - Level Design,Concept Art - Character,Concept Art - Props,QA Lead,Testers,Music & Sound,Assets,A game by HamayQKI Games
Ignacio López Fernández,Ignacio López Fernández,Ignacio López Fernández,Ignacio López Fernández,Ignacio López Fernández,Bianca Adriana Marinica,Ignacio López Fernández,Ignacio López Fernández,Bianca Marinica,Alejandro Vila Cotillas,Jhoan Alexis López,Ignacio López Fernández,Arón Hernández Moreno,FREE Horror Music Pack – Fictium Sound Design,unity-vhs – staffantan CC BY 3.0,
,Bianca Adriana Marinica,,Bianca Adriana Marinica,,Ignacio López Fernández,,,,,Bianca Marinica,,Paula López Fernández,FREE HORROR SFX - VN - SCARY SOUND EFFECTS – Liminal Games,MessageSystem based on – BatPan,
,,,,,,,,,,,,Marcos Isar Martínez,Horror SFX Free – YourPalRob,AmbienceSound System based on – VS Audio Design,
,,,,,,,,,,,,Alumnos de 1º A3DJEI de CampusFP,Survival Horror UI SFX – bedsideseraphim CC-BY 4.0,Terrain Textures – Kaffeeaffe CC0 Public Domain,
,,,,,,,,,,,,Bianca Adriana Marinica,Item Equip – mrickey13,,
,,,,,,,,,,,,Ignacio López Fernández,New Notification 09 – Universfield,,
,,,,,,,,,,,,,Jumpscare Sound For Fnat – Frogo_The_Froggy,,
,,,,,,,,,,,,,Paper Collect 3 – floraphonic,,
,,,,,,,,,,,,,Horror Ambience Deep Underground in Cave – Fronbondi_Skegs,,
,,,,,,,,,,,,,cinderblockmove – j1987,,
,,,,,,,,,,,,,Exhale – SoundReality,,
,,,,,,,,,,,,,041109_Jacob's ladder (electricity) – Freesound Community,,
